product_name,product_author,product_date,product_price,product_reviews,product_labels_language
"Whiskey in a Teacup: What Growing Up in the South Taught Me About Life, Love, and Baking Biscuits",by Reese Witherspoon,18-Sep-18,$20.99 ,104 customer reviews,English
"Just Jessie: My Guide to Love, Life, Family, and Food",by Jessie James Decker,2-Oct-18,$15.60 ,74 customer reviews,English
The 5 Love Languages: The Secret to Love that Lasts,by Gary Chapman,1-Jan-15,$7.02 ,"13,266 customer reviews",English
Led Zeppelin by Led Zeppelin,by Led Zeppelin,9-Oct-18,$43.37 ,11 customer reviews,English
"To Shake the Sleeping Self: A Journey from Oregon to Patagonia, and a Quest for a Life with No Regret",by Jedidiah Jenkins,2-Oct-18,$17.10 ,35 customer reviews,English
"Katie Daisy 2018 - 2019 On-the-Go Weekly Planner: 17-Month Calendar with Pocket (Aug 2018 - Dec 2019, 5 x 7 closed)",by Katie Daisy and Amber Lotus Publishing,15-May-18,$9.40 ,579 customer reviews,English
The Flame: Poems Notebooks Lyrics Drawings,by Leonard Cohen,2-Oct-18,$18.30 ,5 customer reviews,English
Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering,by Paper Peony Press,27-Oct-17,$6.99 ,456 customer reviews,English
The Anatomy Coloring Book,by Wynn Kapit and Lawrence M. Elson,6-Apr-13,,"1,455 customer reviews",English
How to Be a Good Creature: A Memoir in Thirteen Animals,by Sy Montgomery and Rebecca Green,25-Sep-18,$12.00 ,27 customer reviews,English
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,by Marie Kond,14-Oct-14,$9.69 ,"13,269 customer reviews",English
Homebody: A Guide to Creating Spaces You Never Want to Leave,by Joanna Gaines,6-Nov-18,$23.99 ,,English
"Cozy Minimalist Home: More Style, Less Stuff",by Myquillyn Smith,23-Oct-18,$14.99 ,,English
Go the F**k to Sleep,by Adam Mansbach and Ricardo Cortés,14-Jun-11,$11.29 ,"3,530 customer reviews",English
Hand Lettering 101: An Introduction to the Art of Creative Lettering (Hand Lettering Series),by Chalkfulloflove and Paige Tate Select,21-Jun-16,$17.99 ,510 customer reviews,English
Essential Elements for Strings: Book 1 with EEi (Violin),by Michael Allen and Robert Gillespie,1-Jul-02,$5.69 ,770 customer reviews,English
Assassin's Creed Odyssey: Official Collector's Edition Guide,by Tim Bogenn and Kenny Sims,5-Oct-18,$25.46 ,4 customer reviews,English
"Ninth Street Women: Lee Krasner, Elaine de Kooning, Grace Hartigan, Joan Mitchell, and Helen Frankenthaler: Five Painters and the Movement That Changed Modern Art",by Mary Gabriel,25-Sep-18,$23.79 ,1 customer review,English
The Burn Cookbook: An Unofficial Unauthorized Cookbook for Mean Girls Fans,by Jonathan Bennett and Nikki Martin,2-Oct-18,$15.00 ,7 customer reviews,English
Hamilton: The Revolution,by Lin-Manuel Miranda and Jeremy McCarter,12-Apr-16,$24.75 ,"1,966 customer reviews",English
Marvelocity: The Marvel Comics Art of Alex Ross (Pantheon Graphic Library),by Alex Ross and Chip Kidd,2-Oct-18,$31.45 ,4 customer reviews,English
Calm the F*ck Down: An Irreverent Adult Coloring Book,by Sasha O'Hara,6-Jan-16,$5.24 ,"1,656 customer reviews",English
Shade: A Tale of Two Presidents,by Pete Souza,16-Oct-18,$19.49 ,,English
Good Days Start With Gratitude: A 52 Week Guide To Cultivate An Attitude Of Gratitude: Gratitude Jou,by Pretty Simple Press,16-Sep-17,$6.40 ,136 customer reviews,English
Adult All-In-One Course: Lesson-Theory-Technic: Level 1,by Willard A. Palmer and Morton Manus,1-Jul-94,$13.41 ,"1,212 customer reviews",English
Beastie Boys Book,by Michael Diamond and Adam Horovitz,30-Oct-18,$35.00 ,13 customer reviews,English
Harry Potter: A Pop-Up Guide to Hogwarts,by Matthew Reinhart and Kevin Wilson,23-Oct-18,$46.39 ,,English
2018-2019 Academic Planner Weekly And Monthly: Calendar Schedule Organizer and Journal Notebook With Inspirational Quotes And Navy Floral Lettering Cover (August 2018 through July 2019),by Pretty Simple Planners,5-May-18,$7.99 ,236 customer reviews,English
Primer Level - Lesson Book: Piano Adventures,by Nancy Faber and Randall Faber,1-Jan-96,$7.99 ,266 customer reviews,English
Handcrafted: A Woodworker's Story,by Clint Harp,25-Sep-18,$15.39 ,14 customer reviews,English
